Latitude,Longitude,StationName,State,County,StationID,Date,Time,RainAccumulation(Inches),WindSpeed(MPH),WindDirection(Degrees),AirTempreture(Fahrenheit),RelativeHumidity(%),SolarRadiation(W/M^2)
36.72417,-118.9425,PARK RIDGE,CA,Fresno,17112631,2022/05/31,02:00:00+00,13.46,3.0,320.0,50.0,47.0,73.0
38.60757,-104.88667,FT. CARSON,CO,El Paso,16924722,2022/04/12,17:58:00+00,1.55,17.0,301.0,53.0,31.0,697.0
30.35833,-84.61139,BLOXHAM,FL,Leon,17294377,2022/03/15,13:15:00+00,9.2,4.0,107.0,59.0,88.0,40.0
32.99031,-116.06697,FISH CREEK MOUNTAINS,CA,Imperial,16802098,2022/08/31,13:26:00+00,0.71,7.0,197.0,98.0,18.0,1.0
41.64331,-114.43633,ROCK SPRING CREEK,NV,Elko,16841768,2022/04/21,11:41:00+00,2.24,1.0,238.0,27.0,67.0,0.0
44.58179,-104.7195,DEVILS TOWER,WY,Crook,17137190,2022/08/31,13:23:00+00,12.18,0.0,319.0,46.0,97.0,13.0
38.28442,-120.48975,BANNER ROAD,CA,Calaveras,17093168,2022/03/21,03:13:00+00,20.94,7.0,340.0,50.0,43.0,1.0
40.29261,-121.24394,CHESTER,CA,Plumas,16958546,2022/08/03,18:01:59+00,16.5,4.0,98.0,84.0,37.0,789.0
42.10375,-123.68508,ILLINOIS VALLEY AIRPORT,OR,Josephine,16989489,2022/08/31,12:52:00+00,19.49,0.0,230.0,49.0,75.0,0.0
32.83642,-116.67155,ALPINE,CA,San Diego,17258302,2022/08/31,12:52:00+00,11.58,4.0,110.0,77.0,36.0,0.0
55.39583,-116.10806,3 MILE (TEST AGAIN),ID,Clark,17192239,2022/02/08,20:13:00+00,0.62,4.0,231.0,31.0,61.0,9.0
39.80742,-122.94511,MENDOCINO PASS,CA,Mendocino,17209642,2022/08/31,13:05:00+00,8.35,5.0,71.0,62.0,12.0,0.0
31.78347,-110.64325,EMPIRE,AZ,Pima,16792622,2022/05/02,22:54:00+00,1.1,11.0,287.0,83.0,9.0,798.0
35.13028,-85.42778,PRENTICE COOPER SF,TN,Marion,17395227,2022/03/15,13:05:59+00,16.9,5.0,290.0,49.0,45.0,63.0
41.42711,-121.46251,ROUND MOUNTAIN,CA,Siskiyou,17102387,2022/06/07,09:14:59+00,5.7,5.0,179.0,45.0,70.0,0.0
46.92972,-116.90889,POTLATCH,ID,Latah,16916278,2022/08/31,13:11:00+00,13.72,2.0,37.0,57.0,56.0,1.0
41.83828,-123.94534,GASQUET 2,CA,Del Norte,16967232,2022/08/10,15:51:00+00,76.27,0.0,305.0,54.0,100.0,29.0
32.685,-116.97361,SAN MIGUEL,CA,San Diego,17324059,2022/03/15,12:49:59+00,5.41,1.0,12.0,52.0,87.0,0.0
44.66597,-111.09911,HEBGEN LAKE,MT,Gallatin,17036069,2022/08/31,12:40:00+00,16.95,0.0,148.0,37.0,83.0,0.0
44.54312,-72.52906,ELMORE,VT,Lamoille,17293351,2022/05/05,00:49:00+00,10.81,2.0,299.0,50.0,99.0,0.0
34.1368,-117.70757,CLAREMONT,CA,Los Angeles,17150519,2022/08/31,12:55:00+00,14.16,4.0,2.0,72.0,42.0,0.0
43.79025,-114.4218,NORTH FORK,ID,Blaine,17204776,2022/07/06,18:39:00+00,0.07,6.0,133.0,80.0,27.0,921.0
34.27111,-118.1525,CLEAR CREEK,CA,Los Angeles,17336616,2022/08/01,21:55:00+00,21.49,6.0,289.0,87.0,36.0,748.0
42.12333,-124.30028,RED MOUND,OR,Curry,17009730,2022/05/05,01:21:59+00,39.94,4.0,275.0,58.0,72.0,246.0
28.02496,-81.4812,PANTHER PORTABLE #1,FL,Collier,17532453,2022/03/15,12:36:59+00,6.52,1.0,0.0,65.0,94.0,36.0
43.28949,-102.27104,PORCUPINE,SD,Shannon,16782128,2022/06/07,08:42:00+00,6.03,10.0,310.0,52.0,100.0,0.0
36.03114,-120.05483,KETTLEMAN HILLS,CA,Kings,16798256,2022/08/31,12:51:00+00,4.14,5.0,309.0,71.0,52.0,0.0
44.67,-117.93361,BLUE CANYON,OR,Baker,16862253,2022/05/17,12:56:00+00,5.55,0.0,71.0,33.0,97.0,9.0
33.50536,-115.83969,DOS PALMAS,CA,Riverside,16805472,2022/08/31,13:15:00+00,0.28,4.0,118.0,88.0,35.0,0.0
30.02056,-84.98611,SUMATRA,FL,Liberty,17294119,2022/03/15,12:48:00+00,11.27,3.0,93.0,59.0,93.0,7.0
36.79436,-113.75056,BLACK ROCK,AZ,Mohave,16790065,2022/05/02,22:50:00+00,1.82,9.0,298.0,59.0,22.0,844.0
47.70164,-108.47808,MANNING CORRAL DOGTOWN,MT,Phillips,17114164,2022/05/09,04:41:00+00,0.91,5.0,264.0,46.0,50.0,0.0
40.45953,-115.84953,CRANE SPRINGS,NV,Elko,17109036,2022/05/04,00:26:00+00,3.11,12.0,318.0,38.0,84.0,113.0
19.67278,-156.02028,KALOKO-HONOKOHAU,HI,Hawaii,17458723,2022/03/15,13:15:59+00,0.41,3.0,135.0,69.0,74.0,0.0
35.13028,-85.42778,PRENTICE COOPER SF,TN,Marion,17395229,2022/08/31,13:05:59+00,44.93,1.0,259.0,72.0,69.0,261.0
42.20597,-121.13806,GERBER RESERVOIR,OR,Klamath,16855091,2022/08/31,12:45:00+00,4.24,2.0,300.0,50.0,47.0,0.0
44.92548,-121.1977,MUTTON MOUNTAIN,OR,Wasco,16781363,2022/08/31,12:35:00+00,7.82,8.0,48.0,73.0,31.0,0.0
36.72778,-111.82197,PARIA POINT,AZ,Coconino,16814387,2022/05/02,23:00:59+00,0.61,10.0,252.0,70.0,8.0,762.0
41.87677,-115.25817,POLE CREEK,NV,Elko,17570845,2022/08/22,16:41:00+00,13.35,9.0,186.0,73.0,29.0,725.0
44.25667,-89.81,ROME (SARATOGA),WI,Wood,17451555,2022/05/15,11:05:00+00,7.5,0.0,204.0,39.0,95.0,7.0
46.96097,-93.59841,HILL CITY,MN,Itasca,17133617,2022/08/31,13:07:00+00,19.78,2.0,326.0,60.0,100.0,111.0
33.26611,-88.79333,NOXUBEE - FTS,MS,Noxubee,17153564,2022/03/15,12:58:00+00,21.28,2.0,2.0,51.0,92.0,5.0
40.73856,-108.83658,LODORE,CO,Moffat,16806958,2022/08/31,13:23:00+00,6.0,6.0,95.0,61.0,28.0,4.0
37.52472,-109.89306,KANE GULCH,UT,San Juan,16865324,2022/03/15,21:42:00+00,0.76,4.0,203.0,61.0,18.0,747.0
33.61119,-110.41461,HILLTOP,AZ,Gila,17230115,2022/07/07,13:33:00+00,25.23,1.0,51.0,57.0,58.0,106.0
46.03783,-114.26271,LITTLE ROCK CREEK,MT,Ravalli,17284389,2022/08/31,13:09:00+00,4.61,0.0,287.0,67.0,20.0,2.0
35.69028,-101.56833,CEDAR,TX,Hutchinson,17130795,2022/08/31,12:36:00+00,9.63,1.0,256.0,66.0,90.0,3.0
43.91795,-114.19728,S-C PORTABLE #3,ID,Custer,19635718,2022/01/11,12:51:00+00,0.0,3.0,107.0,28.0,76.0,0.0
69.37,-152.13611,UMIAT AIRFIELD,AK,North Slope,17475619,2022/08/31,13:24:00+00,5.29,4.0,91.0,36.0,92.0,0.0
38.27947,-119.62331,LEAVITT LAKE,CA,Mono,19882246,2022/06/21,17:27:00+00,0.2,2.0,1.0,75.0,33.0,340.0
40.40722,-74.49417,NEW MIDDLESEX COUNTY,NJ,Middlesex,17392679,2022/08/31,13:11:00+00,27.98,3.0,283.0,73.0,84.0,77.0
65.29644,-143.07236,BEN CREEK,AK,Yukon-Koyukuk,16905264,2022/05/04,00:20:00+00,0.02,3.0,80.0,55.0,28.0,517.0
39.60933,-110.28997,BRUIN POINT,UT,Carbon,16865098,2022/06/09,21:41:00+00,4.49,2.0,147.0,77.0,17.0,801.0
48.13623,-118.97241,NESPELEM,WA,Okanogan,16783421,2022/03/15,12:57:00+00,5.51,6.0,131.0,43.0,92.0,0.0
43.84119,-118.95203,CROW FLAT,OR,Harney,16975667,2022/03/15,13:07:00+00,1.79,4.0,243.0,37.0,89.0,0.0
36.03114,-120.05483,KETTLEMAN HILLS,CA,Kings,16798255,2022/05/06,01:50:59+00,4.14,18.0,347.0,81.0,25.0,99.0
34.76067,-98.74192,WICHITA,OK,Comanche,16899882,2022/03/15,13:28:59+00,1.21,12.0,11.0,41.0,67.0,27.0
33.28056,-89.13889,TOMBIGBEE,MS,Choctaw,17388059,2022/06/14,13:01:00+00,28.57,2.0,25.0,81.0,82.0,173.0
45.8715,-112.10821,WHITEHALL,MT,Jefferson,17067560,2022/08/09,21:16:00+00,5.22,7.0,115.0,93.0,13.0,823.0
34.11486,-113.34733,SMITH PEAK,AZ,Yuma,16794163,2022/05/02,22:53:00+00,0.66,6.0,210.0,88.0,13.0,793.0
38.97924,-112.23886,BLACK CEDAR,UT,Millard,16945200,2022/08/31,13:27:00+00,14.56,4.0,107.0,67.0,28.0,4.0
35.19417,-108.16306,BLUEWATER RIDGE,NM,Cibola,17380134,2022/05/09,05:06:00+00,1.23,11.0,224.0,53.0,26.0,0.0
42.29019,-123.23339,PROVOLT SEED ORCHARD,OR,Josephine,16856892,2022/03/15,12:59:00+00,3.13,2.0,304.0,48.0,99.0,0.0
43.91253,-71.8859,WARREN,NH,Grafton,19692043,2022/08/31,12:54:00+00,22.44,3.0,201.0,68.0,92.0,175.0
43.56139,-107.395,SPLIT ROCK CREEK,WY,Washakie,16876851,2022/05/05,00:41:00+00,6.1,6.0,284.0,48.0,76.0,187.0
41.54139,-73.95,STONYKILL,NY,Dutchess,17390372,2022/03/15,12:48:00+00,6.8,3.0,254.0,42.0,71.0,134.0
32.85739,-116.62239,DESCANSO,CA,San Diego,16993073,2022/05/06,02:03:59+00,14.44,3.0,276.0,70.0,33.0,186.0
45.12958,-108.30397,WILD HORSE,MT,Big Horn,16815925,2021/12/17,02:48:00+00,12.42,4.0,247.0,10.0,80.0,0.0
42.54069,-111.85533,GRACE,ID,Caribou,16822325,2022/05/13,20:34:00+00,3.53,11.0,252.0,53.0,39.0,903.0
34.28422,-103.71497,MELROSE RANGE,NM,Curry,17502488,2022/03/15,13:14:00+00,0.11,8.0,204.0,23.0,58.0,2.0
44.9429,-116.1882,SKI HILL,ID,Valley,16945974,2022/08/31,12:59:00+00,9.31,3.0,353.0,64.0,31.0,0.0
32.783,-117.136,MISSION VALLEY,CA,San Diego,17568280,2022/08/31,12:49:59+00,6.53,2.0,109.0,67.0,76.0,4.0
34.37167,-118.84083,WILEY RIDGE,CA,Ventura,17376808,2022/03/15,21:49:59+00,13.75,8.0,241.0,71.0,35.0,616.0
46.52389,-122.19,KOSMOS,WA,Lewis,16878129,2022/03/15,13:11:00+00,40.06,4.0,112.0,41.0,97.0,0.0
36.34811,-120.60011,SANTA RITA,CA,San Benito,16798006,2022/05/06,01:57:59+00,12.53,3.0,337.0,63.0,40.0,249.0
32.65833,-94.11639,CADDO LAKE,TX,Harrison,17341985,2022/03/15,13:11:00+00,7.19,2.0,311.0,53.0,100.0,6.0
42.85881,-123.37844,SILVER BUTTE,OR,Douglas,16859986,2022/07/19,20:15:00+00,32.38,1.0,27.0,78.0,50.0,984.0
46.48369,-104.06689,CANNONBALL CREEK,MT,Fallon,16833335,2022/05/10,03:40:00+00,1.0,16.0,233.0,46.0,58.0,0.0
42.85639,-107.27222,FALES ROCK,WY,Natrona,16873783,2022/05/05,01:11:00+00,6.0,4.0,163.0,44.0,80.0,77.0
45.33717,-108.49216,PRYOR MOUNTAIN,MT,Big Horn,16778796,2022/06/26,23:18:00+00,14.36,2.0,76.0,66.0,44.0,734.0
43.56994,-86.07119,HURON-MANISTEE WEST PORT,MI,Oceana,17333533,2021/11/29,13:15:59+00,0.0,0.0,311.0,34.0,99.0,0.0
36.01766,-76.89126,GREENS CROSS,NC,Bertie,17303847,2022/03/15,13:17:00+00,9.39,0.0,250.0,44.0,95.0,96.0
42.0275,-74.26889,CATSKILL CENTER,NY,Ulster,17459744,2022/03/15,12:48:00+00,9.22,4.0,30.0,37.0,86.0,77.0
32.3675,-88.45667,LAUDERDALE,MS,Lauderdale,17401881,2022/03/15,13:14:00+00,9.43,3.0,51.0,50.0,98.0,4.0
33.50536,-115.83969,DOS PALMAS,CA,Riverside,16805471,2022/05/05,01:15:00+00,0.23,5.0,172.0,95.0,8.0,337.0
40.43971,-78.41839,BLAIR HELIBASE,PA,Blair,17549599,2022/03/15,13:15:59+00,7.3,2.0,112.0,45.0,66.0,242.0
35.05197,-107.42344,LAGUNA,NM,Cibola,17457435,2022/04/19,09:33:59+00,0.55,1.0,30.0,50.0,28.0,0.0
40.88444,-110.82917,BEAR RIVER,UT,Summit,17156393,2022/06/30,08:03:59+00,8.77,1.0,148.0,52.0,92.0,0.0
30.98556,-101.15778,BARNHART,TX,Crockett,17311780,2022/03/24,06:08:00+00,0.29,4.0,266.0,41.0,39.0,0.0
66.82842,-154.32345,NORUTAK LAKE,AK,Northwest Arctic,16902948,2022/07/07,14:22:00+00,1.0,3.0,125.0,54.0,99.0,27.0
32.20361,-104.69028,QUEEN,NM,Eddy,17415711,2022/08/31,13:12:59+00,13.43,8.0,342.0,60.0,98.0,1.0
33.81898,-117.57355,CORONA 1,CA,Riverside,17258548,2022/06/23,01:12:00+00,10.73,4.0,341.0,91.0,30.0,319.0
44.15722,-118.47139,CRANE PRAIRIE,OR,Grant,16975149,2022/05/04,00:29:00+00,6.3,5.0,310.0,51.0,53.0,218.0
39.87184,-121.76898,COHASSET,CA,Butte,17091887,2022/06/24,01:50:59+00,25.66,7.0,165.0,92.0,20.0,343.0
37.51228,-108.4998,DOLORES D5 PORTABLE,CO,Montezuma,19763720,2022/05/26,22:09:00+00,0.0,3.0,223.0,79.0,11.0,468.0
45.07332,-107.88872,BIGHORN MOUNTAIN,MT,Big Horn,16778542,2022/08/31,13:18:00+00,12.5,2.0,179.0,67.0,22.0,34.0
61.73372,-148.81775,LITTLE GRANITE CREEK,AK,Anchorage,17483555,2022/08/31,12:57:00+00,11.01,0.0,323.0,47.0,92.0,0.0
34.69817,-89.30406,WINBORN,MS,Marshall,17153311,2022/08/19,12:10:00+00,36.47,0.0,271.0,67.0,95.0,25.0
31.04944,-98.525,COLORADO BEND,TX,San Saba,17312287,2022/04/25,16:07:00+00,2.08,8.0,36.0,64.0,79.0,183.0
36.36889,-83.89861,CHUCK SWAN SF,TN,Union,17394209,2022/03/15,13:05:59+00,14.14,3.0,95.0,50.0,44.0,105.0
47.22028,-121.96389,ENUMCLAW,WA,King,17389620,2022/05/22,18:09:00+00,45.04,3.0,355.0,63.0,52.0,747.0
32.3025,-89.48444,BIENVILLE,MS,Scott,17045801,2022/08/31,13:07:00+00,52.79,3.0,11.0,73.0,100.0,29.0
40.85975,-109.10344,KINGS POINT,UT,Daggett,16871995,2022/04/21,12:27:00+00,3.49,1.0,136.0,34.0,55.0,0.0
58.775,-135.03292,BERNERS BAY,AK,Juneau,19707397,2021/12/14,04:08:00+00,29.98,1.0,305.0,6.0,86.0,0.0
34.26267,-114.03767,FWS R2 PORT #2,AZ,La Paz,17490444,2022/01/11,17:16:00+00,2.65,1.0,321.0,58.0,25.0,264.0
39.29158,-82.39231,ZALESKI,OH,Vinton,17366301,2022/03/15,12:51:00+00,10.67,0.0,46.0,35.0,94.0,60.0
45.10392,-108.21972,HILLSBORO,MT,Carbon,17379877,2022/05/06,02:29:59+00,1.52,11.0,226.0,69.0,24.0,19.0
42.81733,-83.67944,HOLLY,MI,Oakland,17421346,2022/08/31,13:01:00+00,16.19,4.0,215.0,68.0,74.0,200.0
46.86158,-94.72936,BADOURA,MN,Hubbard,17133356,2022/08/31,13:05:59+00,17.63,0.0,114.0,59.0,100.0,120.0
45.45861,-121.44639,POLLYWOG,OR,Wasco,16980014,2022/06/07,09:07:00+00,8.6,0.0,287.0,41.0,82.0,0.0
39.63369,-109.26525,MCCOOK RIDGE,UT,Uintah,16870460,2022/08/31,13:27:00+00,9.57,6.0,153.0,62.0,31.0,30.0
41.82944,-103.70806,SCOTTS BLUFF,NE,Scotts Bluff,17123370,2022/08/31,12:35:00+00,7.38,3.0,101.0,69.0,56.0,2.0
37.81722,-121.77889,MALLORY RIDGE,CA,Contra Costa,17163544,2022/08/31,13:02:00+00,3.25,5.0,291.0,75.0,6.0,0.0
37.37842,-119.62953,BATTERSON,CA,Madera,17193550,2022/04/27,17:48:00+00,21.79,4.0,142.0,69.0,40.0,763.0
33.94917,-116.65722,WHITEWATER,CA,Riverside,17227059,2022/08/31,12:49:59+00,5.96,17.0,287.0,87.0,20.0,0.0
36.70117,-112.22689,WARM SPRINGS CANYON,AZ,Coconino,16937002,2022/03/15,12:48:00+00,16.15,3.0,154.0,30.0,41.0,0.0
66.97453,-160.44857,KIANA,AK,Northwest Arctic,16785438,2022/05/02,23:11:00+00,17.73,6.0,334.0,39.0,65.0,347.0
41.54139,-73.95,STONYKILL,NY,Dutchess,17390373,2022/08/10,14:48:00+00,22.53,3.0,335.0,82.0,47.0,727.0
35.09653,-119.77322,CARRIZO,CA,San Luis Obispo,16797233,2022/08/31,12:59:59+00,5.98,8.0,142.0,76.0,38.0,0.0
40.25074,-123.3198,RUTH,CA,Trinity,17305381,2022/08/31,07:23:00+00,47.73,0.0,357.0,59.0,56.0,0.0
41.64353,-123.44407,DUTCH-INDY,CA,Siskiyou,17587749,2022/08/31,12:57:00+00,0.53,3.0,356.0,63.0,49.0,0.0
39.58983,-121.63516,OPENSHAW,CA,Butte,17091635,2022/06/24,01:55:00+00,17.38,11.0,156.0,99.0,18.0,370.0
65.34986,-155.93525,COTTONWOOD,AK,Yukon-Koyukuk,16897058,2022/05/23,19:18:00+00,0.03,11.0,115.0,59.0,26.0,520.0
38.44579,-76.09315,BLACKWATER,MD,Dorchester,17170985,2022/03/15,12:56:00+00,6.84,5.0,156.0,49.0,69.0,185.0
36.28556,-112.07861,LINDBERGH HILL,AZ,Coconino,16906044,2022/06/08,10:08:00+00,3.46,1.0,338.0,55.0,38.0,0.0
47.77944,-93.64611,EFFIE,MN,Itasca,17133097,2022/08/31,13:07:00+00,17.33,1.0,331.0,57.0,99.0,57.0
32.09217,-104.2905,CARLSBAD PORTABLE,NM,Eddy,17399873,2022/05/02,22:41:00+00,0.09,18.0,259.0,92.0,7.0,664.0
43.79025,-114.4218,NORTH FORK,ID,Blaine,17204775,2022/03/15,12:39:00+00,1.54,2.0,256.0,29.0,76.0,0.0
32.39806,-110.725,SCOUT CAMP,AZ,Pima,16934458,2022/08/31,13:31:59+00,22.59,21.0,80.0,60.0,67.0,46.0
34.2925,-107.76806,DATIL,NM,Catron,17297188,2022/05/05,01:11:00+00,0.7,15.0,287.0,53.0,17.0,254.0
45.01394,-110.03869,SODA BUTTE,WY,Park,17564702,2022/06/29,07:17:00+00,19.41,2.0,339.0,54.0,56.0,0.0
35.76833,-82.19361,BUSICK,NC,Yancey,17055010,2022/05/31,02:05:00+00,33.61,1.0,162.0,60.0,98.0,0.0
47.50174,-94.92511,BEMIDJI,MN,Beltrami,17132843,2022/08/31,13:07:00+00,15.74,0.0,213.0,64.0,84.0,114.0
36.64939,-92.86872,AVA,MO,Douglas,17068591,2022/03/15,12:54:00+00,7.95,4.0,108.0,47.0,94.0,4.0
37.79306,-106.77861,BLUE PARK,CO,Mineral,16927017,2022/08/31,12:58:00+00,10.39,3.0,60.0,40.0,87.0,3.0
47.79672,-107.02175,KING COULEE,MT,Valley,16830512,2022/05/09,04:44:00+00,0.75,2.0,274.0,51.0,44.0,0.0
34.82499,-77.32307,HOFMANN FOREST,NC,Onslow,17274670,2022/08/31,13:11:00+00,35.4,2.0,354.0,82.0,75.0,334.0
34.96017,-79.69037,NC FIRE RAWS #1,NC,Richmond,17429819,2022/01/04,15:49:59+00,3.37,1.0,188.0,33.0,66.0,126.0
34.20333,-112.34556,CROWN KING,AZ,Yavapai,17014318,2022/04/13,01:28:00+00,2.4,7.0,285.0,44.0,11.0,221.0
38.34569,-105.45192,COPPER GULCH,CO,Fremont,16805677,2022/08/31,12:49:00+00,9.4,0.0,322.0,48.0,87.0,3.0
41.91072,-119.93933,BARREL SPRINGS,NV,Washoe,16803890,2022/05/05,00:59:59+00,7.13,7.0,259.0,70.0,22.0,468.0
45.13931,-103.91264,INDIAN BUTTE,SD,Butte,16863023,2022/05/15,10:56:00+00,3.68,7.0,280.0,46.0,90.0,0.0
44.84733,-116.42767,WEISER RIVER,ID,Adams,16946231,2022/07/04,11:42:00+00,3.36,3.0,326.0,56.0,75.0,0.0
43.47267,-110.01825,RASPBERRY,WY,Fremont,16943156,2022/06/08,10:11:00+00,4.21,0.0,100.0,26.0,82.0,0.0
43.17389,-91.24417,YELLOW RIVER STATE FOREST,IA,Allamakee,17485850,2022/04/19,10:08:00+00,36.58,2.0,207.0,27.0,76.0,0.0
40.278,-109.28878,YAMPA PLATEAU,UT,Uintah,16869429,2022/04/25,16:27:00+00,3.84,3.0,272.0,46.0,63.0,630.0
48.11556,-120.10444,DOUGLAS INGRAM RIDGE,WA,Okanogan,16982076,2022/08/31,13:05:59+00,1.07,4.0,333.0,71.0,34.0,0.0
36.16083,-88.8001,GREENFIELD,TN,Weakley,17393707,2022/08/31,13:05:00+00,41.12,1.0,130.0,73.0,82.0,163.0
47.87631,-118.09608,WELLPINIT,WA,Stevens,17118493,2022/08/31,13:09:00+00,9.13,0.0,312.0,60.0,56.0,0.0
32.66778,-109.78806,NOON CREEK,AZ,Graham,16934198,2022/08/31,12:36:59+00,12.81,9.0,237.0,63.0,71.0,0.0
44.04669,-120.66958,SALT CREEK-PRINEVILLE,OR,Crook,16859442,2022/04/14,01:49:00+00,5.94,6.0,293.0,36.0,37.0,83.0
44.59811,-119.30765,BOARD CREEK,OR,Grant,16857646,2022/05/04,00:29:00+00,6.66,6.0,314.0,53.0,56.0,535.0
41.83222,-95.92806,LOESS HILLS STATE FOREST,IA,Harrison,17425183,2022/04/19,10:12:00+00,173.51,1.0,178.0,18.0,78.0,0.0
43.49931,-121.05839,CABIN LAKE,OR,Lake,16971322,2022/08/31,13:07:00+00,3.16,0.0,336.0,44.0,65.0,0.0
65.9198,-145.02635,PREACHER CREEK,AK,Yukon-Koyukuk,16895524,2022/07/07,14:22:00+00,0.85,7.0,267.0,67.0,65.0,55.0
38.7025,-86.72724,IIC NORTH PORTABLE,IN,Martin,17424426,2022/04/24,15:10:00+00,19.55,6.0,186.0,76.0,48.0,467.0
43.20278,-123.7175,BURNT RIDGE,OR,Coos,16853057,2022/05/05,00:35:00+00,27.57,6.0,243.0,62.0,59.0,470.0
36.79436,-113.75056,BLACK ROCK,AZ,Mohave,16790066,2022/08/31,12:49:59+00,7.31,0.0,323.0,70.0,25.0,0.0
31.87208,-109.98163,RO PORTABLE #2,AZ,Cochise,17319471,2022/03/15,13:18:00+00,0.32,2.0,4.0,54.0,18.0,0.0
44.25667,-89.81,ROME (SARATOGA),WI,Wood,17451554,2022/03/15,13:05:00+00,1.19,1.0,77.0,29.0,100.0,12.0
46.776,-104.58019,PINE HILL,MT,Wibaux,16833594,2022/08/31,13:25:00+00,12.97,2.0,191.0,69.0,45.0,72.0
46.34417,-91.54333,BARNES,WI,Bayfield,17450530,2022/08/31,13:05:59+00,16.26,1.0,321.0,64.0,86.0,155.0
34.68306,-78.58167,TURNBULL CREEK,NC,Bladen,17342491,2022/08/31,13:18:59+00,30.84,2.0,22.0,82.0,67.0,73.0
33.65058,-104.32133,EIGHT MILE DRAW,NM,Chaves,16837683,2022/03/15,12:36:59+00,0.12,4.0,352.0,28.0,47.0,0.0
42.89838,-112.60285,NWS IWOS 2 (PIH),ID,Bingham,17493278,2022/03/15,13:26:00+00,21.75,19.0,144.0,42.0,45.0,0.0
45.21731,-123.53578,RYE MOUNTAIN,OR,Yamhill,16860486,2022/05/05,01:15:00+00,37.45,2.0,293.0,55.0,72.0,198.0
40.25074,-123.3198,RUTH,CA,Trinity,17305380,2022/03/15,13:23:00+00,34.05,1.0,77.0,47.0,100.0,0.0
45.81556,-114.25833,WEST FORK,MT,Ravalli,17036334,2022/08/13,20:15:00+00,14.53,5.0,194.0,94.0,16.0,871.0
32.13669,-94.84736,HENDERSON,TX,Rusk,17312802,2022/08/31,13:05:59+00,27.01,0.0,66.0,76.0,97.0,131.0
