FireDepartmentName,SubstationName/PhysicalCity,PhysicalAddress1,County,Latitude,Longitude
Austin Fire Dept.,Station 42,"2434 Cardinal Loop, ",Travis,30.2158,-97.6559
Austin Fire Dept.,Station 50,"7019 Elroy Rd, ",Travis,30.1587,-97.6425
Austin Fire Dept.,Station 25,5228 Duval Rd,Travis,30.4183,-97.7428
Austin Fire Dept.,Station 26,6702 Wentworth Dr ,Travis,30.2935,-97.6316
Austin Fire Dept.,Station 27,5401 McCarty Ln,Travis,30.2278,-97.8536
Austin Fire Dept.,Station 28,"2410 W Parmer Ln, ",Travis,30.4195,-97.7013
Austin Fire Dept.,Station 29,"3625 Davis Ln, ",Travis,30.1959,-97.8455
Austin Fire Dept.,Station 32,"2804 Montebello Rd, ",Travis,30.2669,-97.7905
Austin Fire Dept.,Station 19,5211 Balcones Dr,Travis,30.3346,-97.7589
Austin Fire Dept.,Station 20,6601 Menchaca Rd,Travis,30.2067,-97.8056
Austin Fire Dept.,Station 21,4201 Spicewood Springs RD,Travis,30.3706,-97.756
Austin Fire Dept.,Station 22,5309 E Riverside Dr,Travis,30.2292,-97.7132
Austin Fire Dept.,Station 23,1330 E Rundberg Lane,Travis,30.3527,-97.6785
Austin Fire Dept.,Station 24,5811 Nuckols Crossing Rd ,Travis,30.1872,-97.7423
Austin Fire Dept.,Station 12,2109 Hancock Ave,Travis,30.3223,-97.7403
Austin Fire Dept.,Station 14,4305 Airport Blvd,Travis,30.2989,-97.7094
Austin Fire Dept.,Station 15 ,829 Airport Blvd,Travis,30.2569,-97.6927
Austin Fire Dept.,Station 16,7000 Reese Lane,Travis,30.3401,-97.723
Austin Fire Dept.,Station 17,4128 S 1st St,Travis,30.2251,-97.7713
Austin Fire Dept.,Station 18,6311 Berkman Dr,Travis,30.3173,-97.6901
Austin Fire Dept.,Station 07,201 Chicon St,Travis,30.2582,-97.7239
Austin Fire Dept.,Station 08,89899 Research Blvd,Travis,30.3725,-97.7231
Austin Fire Dept.,Station 09,4301 Speedway ,Travis,30.3065,-97.7295
Austin Fire Dept.,Station 10,3009 Windsor Rd,Travis,30.2956,-97.7672
Austin Fire Dept.,ARFF Station ,3284 Emma Browing Ave,Travis,30.1967,-97.6635
Austin Fire Dept.,Station 11,1611 Kinney Ave,Travis,30.2531,-97.7675
Avinger Fire Dept,Station #2,Eagle Landing Airstrip ,Cass,32.9044,-94.5552
Baird Volunteer Fire Dept,Station #3,316 Chestnut,Callahan,32.3938,-99.3933
Baird Volunteer Fire Dept,Station #2,301 Market Street,Callahan,32.3935,-99.3942
Bartlett VFD,Bartlett VFD Station 2,20759 North FM 487,Milam,30.7825,-97.274
Bastrop County ESD #1,Station 2,5554 FM 535,Bastrop,30.0833,-97.5007
Bastrop County ESD #1,Station 3,142 High St,Bastrop,29.9315,-97.2966
Bastrop County ESD #1,Station 4,213 Still Forest Dr,Bastrop,30.1273,-97.4615
Bastrop County ESD #1,Station 5,1525 FM 812,Bastrop,30.0217,-97.4281
Bastrop County ESD #1,Station 6,100 Utley Rd,Bastrop,30.1974,-97.4289
Bastrop County ESD #1,Station 7,3744 State Highway 304,Bastrop,29.886,-97.3467
Bastrop County ESD #2,Station 3,926 FM 1441,Bastrop,30.1738,-97.2566
Bastrop County ESD #2,Station 5,168 Washington ,Bastrop,30.2118,-97.1131
Bastrop Fire Department,Station 2,120 corporate dr. ,Bastrop,30.1004,-97.2872
Baytown Fire Department,Station 05,7722 Bayway Dr ,Harris,29.7781,-95.0316
Baytown Fire Department,Station 06,10166 Pinehurst Dr ,Chambers,29.7999,-94.9058
Baytown Fire Department,Station 07,7215 Eastpoint Blvd. ,Harris,29.8064,-94.9856
Baytown Fire Department,Station 01,4723 Garth Rd ,Harris,29.7767,-94.978
Baytown Fire Department,Station 02,2323 Market St ,Harris,29.7288,-94.9967
Baytown Fire Department,Station 03,3311 Massey Tompkins Rd ,Harris,29.7671,-94.9275
Baytown Fire Department,Station 04,910 E. Fayle Ave,Harris,29.7354,-94.9549
Beaumont Fire/Rescue,Station 01,"1675 Caldwell Ave, ",Jefferson,30.0982,-94.1129
Beaumont Fire/Rescue,Station 02,4990 Helbig Rd,Jefferson,30.1255,-94.1384
Beaumont Fire/Rescue,Station 03,"805 Woodrow Ave, ",Jefferson,30.0435,-94.0902
Beaumont Fire/Rescue,Station 04,1301 W Lucas Dr,Jefferson,30.0935,-94.1477
Beaumont Fire/Rescue,Station 05,6375 Walden Rd ,Jefferson,30.038,-94.1662
Beaumont Fire/Rescue,Station 06,"1880 S Major Dr, ",Jefferson,30.0583,-94.1902
Beaumont Fire/Rescue,Station 07,"1710 Mcfaddin Ave, ",Jefferson,30.0872,-94.113
Beaumont Fire/Rescue,Station 08,"6297 TX105, ",Jefferson,30.1329,-94.1755
Beaumont Fire/Rescue,Station 09,"7010 Gladys Ave, ",Jefferson,30.0916,-94.181
Beaumont Fire/Rescue,Station 10,"3855 Washington Blvd,",Jefferson,30.0554,-94.1335
Beaumont Fire/Rescue,Station 11,"525 Royal St, ",Jefferson,30.0717,-94.0944
Beaumont Fire/Rescue,Station 14,"8250 Old Voth Rd,",Jefferson,30.1532,-94.182
Bellville Volunteer Fire Department,Station 2,903 East Hill St.,Austin,29.949,-96.2471
Bellville Volunteer Fire Department,Station 3,158 Oilfield Rd.,Austin,30.027,-96.1318
Bellville Volunteer Fire Department,Station 4,1129 Hall Rd.,Austin,30.054,-96.3296
Belton Fire Dept.,Central Station,"203 S Penelope St, Belton, TX 76513",Bell,31.0552,-97.4625
Berlin - Mill Creek - Zionsville VFD,STATION 2,105 LILLIE LANGE ROAD,Washington,30.1757,-96.4649
Bexar County ESD #10,Bexar County ESD #10 (Harmony Station 3),11755 S Foster Rd.,Bexar,29.3011,-98.3718
Bexar County ESD #10,Bexar County ESD #10 (Camelot Station 2),7385 Gibbs Sprawl,Bexar,29.5014,-98.3439
Bexar County ESD #5,Station 141,22047 Hwy 16S ,Bexar,29.1954,-98.5857
Bexar County ESD #5,Station 150,"7120 E 6th St,",Bexar,29.2259,-98.6414
Bexar-Bulverde VFD,BexarBulverde VFD (Station 103),1126 East Borgfeld Drive,Bexar,29.7137,-98.4761
Big Spring Fire Dept,Station 2,100 East 18th Street,Howard,32.2379,-101.47
Big Spring Fire Dept,Station 3,"1607 E 11th Pl, ",Howard,32.2496,-101.4515
Big Spring Fire Dept,Station 4,"100 NE 8th St,",Howard,32.2607,-101.4807
Big Spring Fire Dept,Station 5,"1701 Wasson Rd, ",Howard,32.2181,-101.4839
Bloomburg Fire Department/ Cass County ESD #3,Cass County ESD #3 Station 2 ,4321 State Highway 77 East,Cass,33.0825,-94.0864
Boonsville/Balsora VFD,Station 2,4490 FM 920,Wise,33.1159,-97.8522
Brazoria Volunteer Fire Department Inc,Brazoria Station 2,202 North Brooks,Brazoria,29.0461,-95.5701
Brazos County District 2 VFD,Station 02,13983 FM 974,Brazos,30.8864,-96.2982
Brazos County District 2 VFD,Station 03,Frieda Lane       (Intersection),Brazos,30.7365,-96.3488
Brazos County Pct. 4 VFD,Station 02,2595 West OSR,Brazos,30.729,-96.474
Brazos County Pct. 4 VFD,Station 03,6357 Raymond Stotzer Pkwy,Brazos,30.5756,-96.3968
Brazos County Pct. 4 VFD,Station One,3098 Fazzino Ln,Brazos,30.6513,-96.4915
Brazos County Precinct 3 Volunteer Fire Department,Station 01,7265 Mesco Dr ,Brazos,30.6942,-96.2923
Brazos County Precinct 3 Volunteer Fire Department,Station 03,4450 Roans Chapel Rd,Brazos,30.6374,-96.2487
Bremond VFD,Station II,201 S Dallas St,Robertson,31.1649,-96.674
Briar-Reno Fire Department Inc,BriarReno North Station,14401 Liberty School Road,Tarrant,32.99,-97.52
Briscoe Vol. Fire Dept.,Briscoe Hemphill Station,15805 FM 277,Hemphill,35.6922,-100.2352
Brookesmith VFD,Indian Creek,152 FM 586E,Brown,31.5254,-98.9855
Brownsville Fire Department,Station 1,1000 E Adams Street,Cameron,25.9034,-97.4984
Brownsville Fire Department,Station 2,500 W St Charles ,Cameron,25.9119,-97.5121
Brownsville Fire Department,Station 3,804 Hortencia Boulevard,Cameron,25.9049,-97.4663
Brownsville Fire Department,Station 4,605 Old Alice Road,Cameron,25.9292,-97.499
Brownsville Fire Department,Station 5,50 S Vermillion Avenue,Cameron,25.9131,-97.4247
Brownsville Fire Department,Station 6,1100 Old Port Isabel Road,Cameron,25.9338,-97.4733
Brownsville Fire Department,Station 7,1863 US Highway 281,Cameron,25.9416,-97.5401
Brownsville Fire Department,Station 8,1855 Captain Foust Road,Cameron,25.9513,-97.4118
Brownsville Fire Department,Station 9,69 E Alton Goor ,Cameron,25.9785,-97.5165
Brownsville Fire Department,Station 10,"500 Hidalgo Ave,",Cameron,26.0454,-97.5515
Brownwood Fire Dept.,Station 2,1511 Indian Creek  ,Brown,31.6787,-98.9645
Bryan FD,Bryan FD 2,414 Lawerence,Brazos,30.6461,-96.3584
Bryan FD,Bryan FD 3,3211 Briarcrest Drive,Brazos,30.6671,-96.3221
Bryan FD,Bryan FD 4,5429 North Texas Avenue,Brazos,30.7144,-96.4082
Bryan FD,Bryan FD 5,2052 West Villa Maria Road,Brazos,30.6234,-96.3905
Buda Fire Department,Station 2,151 FM 2001,Hays,30.0777,-97.8216
Buda Fire Department,Station 3,3502 FM 967,Hays,30.0964,-97.8801
Bullard VFD Inc.,Bullard Fire Station 2,CR 1174,Smith,32.1487,-95.4269
Bulverde Spring Branch Fire & EMS ,Station 2,"2016 Puter Creek Rd,  ",Comal,29.9305,-98.41
Bulverde Spring Branch Fire & EMS ,Station 3 ,"30475 Johnson Way,",Comal,29.7485,-98.4205
Bulverde Spring Branch Fire & EMS ,Station 4 ,"215 Rebecca Creek Rd, ",Comal,29.8171,-98.3426
Burton VFD,Station 2,520 N. Brazos St. ,Washington,30.183,-96.595
Caldwell-Hays ESD #1,Station 4,8809 niederwald strasse,Hays,30.0099,-97.7293
Callisburg VFD,Callisburg VFD,4788 County Road 115,Cooke,33.76,-97.03
Caney Creek,Station 85,11015 FM 1485,Montgomery,30.292319,-95.345473
Caney Creek,Station 83,12051 FM 3083,Montgomery,30.298682,-95.389452
Caney Creek,Station 86,13821 FM 1314,Montgomery,30.253088,-95.395527
Caney Creek,Station 84,15038 Calhoun Rd,Montgomery,30.186173,-95.347429
Caney Creek,Station 82,16504 Mystic Ridge Ct.,Montgomery,30.2157,-95.3261
Caney Creek,Station 87,674 Chapel Hill Dr.,Montgomery,30.257409,-95.440206
Canyon Lake Fire/EMS,Station 52,160 Oblate,Comal,29.8653,-98.2914
Canyon Lake Fire/EMS,Station 53,21750 FM 306,Comal,29.9372,-98.2568
Canyon Lake Fire/EMS,Station 54,8685 FM 306,Comal,29.8421,-98.1181
Canyon Lake Fire/EMS,Station 55,1223 Island View Dr.,Comal,29.8402,-98.2317
Canyon Lake Fire/EMS,Station 56,1150 S. Cranes Mill Rd.,Comal,29.7736,-98.2759
Cass County ESD 1,Huffines Station,6200 FM 251,Cass,33.0017,-94.1351
Cedar Hill FD,Station 212,"1098 S Clark Rd, ",Dallas,32.5687,-96.9432
Cedar Hill FD,Station 213,"1430 High Pointe Ln,",Dallas,32.6194,-96.9521
Cedar Hill FD,Station 214,"1505 Lake Ridge Pkwy, ",Dallas,32.5624,-97.0015
Cedar Park FD,Station 1,503 brushy creek rd,Williamson,30.5049,-97.8134
Cedar Park FD,Station 2,1570 cypress creek rd,Williamson,30.4789,-97.8338
Cedar Park FD,Station 3,1311 highland dr,Williamson,30.5215,-97.8504
Cedar Park FD,Station 4,150 church park rd,Williamson,30.5252,-97.7715
Cedar Park FD,Station 5,1501 cottonwood creek,Williamson,30.5346,-97.8083
Center Point VFD,Elm Pass VFD,1247 Elm Pass Road,Kerr,29.8657,-99.0413
Central Bell County Fire & Rescue,CBC Station 52,3000 FM 1670,Bell,31.0418,-97.5182
Central Heights-Appleby VFD,Hwy 204 ,185 State Hwy 204 ,Nacogdoches,31.7536,-94.6768
Central Heights-Appleby VFD,Appleby ,14760 US Hwy 59 ,Nacogdoches,31.7294,-94.6092
Central VFD,Station 2,2930 US Hwy 69 N,Angelina,31.3772,-94.7649
Champions ESD (HCESD #29),Champions ESD Station 12,12734 Cutten Rd,Harris,29.965,-95.5298
Channelview Fire Department,Station 01,16229 Market St,Harris,29.7783,-95.1121
China / Nome,Station 2,1759 2nd St.,Jefferson,30.0322,-94.422
Cibolo Fire Department,Cibolo Fire Station #2,3864 Cibolo Valley Drive,Guadalupe,29.5948,-98.2526
City of Carrollton FD,Station 01,"1623 E Belt Line Rd,",Dallas,32.9541,-96.899
City of Carrollton FD,Station 02,"1720 E Jackson Rd, ",Dallas,32.9752,-96.893
City of Carrollton FD,Station 03,"2255 Marsh Ln, ",Dallas,32.9732,-96.8562
City of Carrollton FD,Station 04,2155 E Rosemeade Pkwy,Denton,33.012,-96.8689
City of Carrollton FD,Station 05,"1805 Hutton Dr, ",Dallas,32.9406,-96.9162
City of Carrollton FD,Station 06,"1115 W Rosemeade Pkwy, ",Denton,33.0094,-96.9156
City of Carrollton FD,Station 07,"4750 N Josey Ln,",Denton,33.04,-96.8803
City of Carrollton FD,Station 08,"4041 Huffines Blvd,",Denton,33.0189,-96.9304
City of Galveston FD,Station 2,428 Church Street,Galveston,29.3093,-94.7724
City of Galveston FD,Station 4,8710 Cessna ,Galveston,29.2637,-94.8569
City of Galveston FD,Station 5,5728 Ball Street,Galveston,29.2921,-94.8323
City of Galveston FD,Station 7 ,3902 Buccaneer,Galveston,29.2101,-94.9389
City of Galveston FD,Station 8,21710 S. Shelby,Galveston,29.1422,-95.0451
City of Kaufman FD,Kaufman VFD station 1,7819 FM 1388,Kaufman,32.54,-96.32
City of Midland FD,Station 10,4501 Sinclair Ave,Midland,32.004,-102.1395
City of Midland FD,Station 2,701 E Florida Ave ,Midland,31.9898,-102.0665
City of Midland FD,Station 3,1707 N Lamesa Rd,Midland,32.0166,-102.0709
City of Midland FD,Station 4,5100 N Big Spring St,Midland,32.0527,-102.0824
City of Midland FD,Station 5 ,2210 W Golf Course Rd ,Midland,32.0099,-102.1037
City of Midland FD,Station 6,301 Tradewinds Blvd. ,Midland,31.9832,-102.1547
City of Midland FD,Station 7,2507 Pliska Dr,Midland,31.9406,-102.2081
City of Midland FD,Station 8,3301 Haynes Dr,Midland,32.0263,-102.1275
City of Midland FD,Station 9,6005 Midland Dr ,Midland,32.0498,-102.1529
City of Taylor Fire Dept.,Station #1,200 Washburn,Williamson,30.5691,-97.4072
City of Taylor Fire Dept.,Station #2,705 Carlos Parker Blvd.,Williamson,30.5865,-97.4422
City of Tyler Fire Department,Station 01,"801 W Gentry Pkwy, ",Smith,32.3606,-95.3096
City of Tyler Fire Department,Station 02,"5505 Old Bullard Rd, ",Smith,32.2892,-95.3067
City of Tyler Fire Department,Station 03,"150 Airport Dr, ",Smith,32.3605,-95.4017
City of Tyler Fire Department,Station 04,"7445 Cherryhill Drive, ",Smith,32.2537,-95.3333
City of Tyler Fire Department,Station 05,"1532 S Bennett Ave, ",Smith,32.3315,-95.3363
City of Tyler Fire Department,Station 06,2804 Van Hwy,Smith,32.3694,-95.3338
City of Tyler Fire Department,Station 07,"344 Troup Hwy,  ",Smith,32.3264,-95.2979
City of Tyler Fire Department,Station 08,"3131 Shiloh Rd, ",Smith,32.2949,-95.259
City of Tyler Fire Department,Station 09,"9111 Paluxy Dr, ",Smith,32.2505,-95.2783
City of Tyler Fire Department,Station 10,2502 Old Omen Rd,Smith,32.3224,-95.2519
Clayton VFD,CLAYTON/FAIRPLAY SUBSTATION,5471 HWY 79 SOUTH,Panola,32.15,-94.47
College Station Fire Department,Station 01,304 E Holleman Dr ,Brazos,30.6167,-96.3105
College Station Fire Department,Station 02,2100.0,Brazos,30.592,-96.3099
College Station Fire Department,Station 03,1900 Barron Rd,Brazos,30.5644,-96.2826
College Station Fire Department,Station 04,1550 W George Bush Dr ,Brazos,30.5917,-96.3585
College Station Fire Department,Station 05,1601 William D Fitch Pkwy,Brazos,30.5675,-96.2492
College Station Fire Department,Station 06,610 E University Dr,Brazos,30.6325,-96.3292
Community Four VFD,Deberry Station ,254 CR 3151,Panola,32.3034,-94.1638
Community VFD,Station 02,13802 Canyon Hill St,Harris,29.6909,-95.627
Community VFD,Station 03,20304 Farm to Market 1093,Harris,29.7041,-95.7379
Community VFD,Station 04 (EMS Only) ,"16005 Bellaire Blvd, ",Harris,29.7007,-95.6688
Conroe Fire Department,Station 4,14901 Walter Woodson Drive,Montgomery,30.238064,-95.461969
Conroe Fire Department,Station 6,15663 Hwy 105 W,Montgomery,30.359814,-95.601431
Conroe Fire Department,Station 5,1601 N. FM 3083 W Carter Moore Dr,Montgomery,30.344763,-95.498576
Conroe Fire Department,Station 1,300 Sgt Ed Holcomb Blvd.,Montgomery,30.30292,-95.481453
Conroe Fire Department,Station 3,424 Foster Dr.,Montgomery,30.291217,-95.448302
Conroe Fire Department,Station 7,7971 Longmire Rd.,Montgomery,30.3766,-95.5305
Conroe Fire Department,Station 2,425 N. Loop 336 E,Montgomery,30.340714,-95.447332
Converse Fire & EMS,Converse Fire & Ems (Station 2),8425 Thornton Lane,Bexar,29.5106,-98.2949
Coppell Fire Dept,Station 01,"520 Southwestern Blvd,",Dallas,32.9491,-97.0066
Coppell Fire Dept,Station 02,"366 S MacArthur Blvd, ",Dallas,32.9604,-96.9591
Coppell Fire Dept,Station 03,"133 Parkway Blvd, ",Dallas,32.9761,-96.9921
Coppell Fire Dept,Station 04,"440 Northpoint Dr,",Dallas,32.9678,-97.0222
Copperas Cove Fire Department,Station 2,2401 FM 1113,Coryell,31.1472,-97.9343
Copperas Cove Fire Department,Station 3,1050 West Business 190,Coryell,31.1019,-97.9248
Corpus Christi FD,Station 01,514 Belden St,Nueces,27.8023,-97.3963
Corpus Christi FD,Station 02,13421 Leopard St,Nueces,27.8561,-97.6285
Corpus Christi FD,Station 03,1401 Morgan Avenue,Nueces,27.778,-97.4052
Corpus Christi FD,Station 04,2338 Rodd Field Rd,Nueces,27.6796,-97.3493
Corpus Christi FD,Station 05,3312 Leopard St.,Nueces,27.7969,-97.4268
Corpus Christi FD,Station 06,6713 Weber Rd ,Nueces,27.6966,-97.4143
Corpus Christi FD,Station 13,1801 Waldron Rd,Nueces,27.6571,-97.2899
Corpus Christi FD,Station 14,5901 S Staples St,Nueces,27.6949,-97.3788
Corpus Christi FD,Station 15,14202 Commodore St.,Nueces,27.6187,-97.2257
Corpus Christi FD,Station 16,8185 Texas 361,Nueces,27.7002,-97.1581
Corpus Christi FD,Station 17,6869 Yorktown Blvd,Nueces,27.6548,-97.3738
Corpus Christi FD,Station 07,3750 S Staples St,Nueces,27.7409,-97.3885
Corpus Christi FD,Station 08,4645 Kostoryz Rd,Nueces,27.7358,-97.4089
Corpus Christi FD,Station 09,501 Navigation Blvd,Nueces,27.7945,-97.453
Corpus Christi FD,Station 10,1550 Horne Rd.,Nueces,27.7591,-97.4318
Corpus Christi FD,Station 11,910 Airline Rd,Nueces,27.716,-97.3617
Corpus Christi FD,Station 12,2120 Rand Morgan Rd,Nueces,27.8213,-97.5477
Corsicana Fire Rescue,Station 2,"310 S 2nd St, ",Navarro,32.0953,-96.4544
Corsicana Fire Rescue,Station 3,2212 W 2nd Ave,Navarro,32.086,-96.4896
Corsicana Fire Rescue,Station 4,"3009 N Beaton St,",Navarro,32.1191,-96.479
Corsicana Fire Rescue,Station 1,200 N. 12th S,Navarro,32.0933,-96.4676
Crabbs Prairie Fire Department,Station 43,3 Phil Wood Rd.,Walker,30.8032,-95.5667
Cresson VFD,Cresson Station 2,111 Concorde Cir,Parker,32.5809,-97.5927
Crosby Volunteer Fire Department,Station 81,2502 Highway 90,Harris,29.8892,-95.0589
Crosby Volunteer Fire Department,Station 83,2409 Foley Road,Harris,29.9481,-95.1205
Crosby Volunteer Fire Department,Station 84,18524 Crosby Eastgate Road,Harris,29.9521,-95.0248
