city,country,beach,mountain,history,food,city_life,countryside,nightlife,couple_friendly,outdoor,spiritual,sights,desc,Best_time,img
Agra,India,0,0,1,0,0,1,1,1,0,0,"Taj Mahal,Agra Fort,Itmad-ud-Daula,Mehtab Bagh,Chini Ka Rauza,Panch Mahal,Moti Masjid,Old Agra sights,Taj Mahal love story,Dolphin Water Park,Soor Sarovar Bird Sanctuary","See the Taj Mahal up-close in Agra.North Indian city with Mughal Empire landmarks like the Taj Mahal mausoleum & red-walled Agra Fort.Where better to go for a romantic vacation than to the great testament of love, the Taj Mahal? Built by the grieving Mughal Emperor Shah Jahan in memory of his late wife Mumtaz Mahal, the Taj Mahal’s unrivaled beauty explains why it’s regarded as one of the eight wonders of the world. A visit to India wouldn’t be complete without it. Other must-experience destinations in Agra are two other UNESCO World Heritage Sites, the sandstone Red Fort and Fatehpur Sikri.",All year remain in the same temperature. Avoid going in winter due to smoke pollition.,https://img.delicious.com.au/2AHRryRu/del/2018/12/agra-india-97385-2.jpg
Cairo,Egypt,0,0,1,0,0,1,1,1,1,0,"Giza Necropolis,Khan el-Khalili,Pyramid of Djoser,Salah Al-Din Al-Ayoubi Citadel,Mosque of Muhammad Ali,Cairo Tower,Al Azhar Park,The Hanging Church,Ancient Egyptian capital,Cairo nightlife","An iconic city where history abounds.Egypt's capital with Egyptian Museum artifacts, plus the Pyramids of Giza & Great Sphinx monument. Cairo’s an ancient city that also happens to be a modern metropolis—it’s one of the biggest cities in the Middle East and has the traffic and noise issues to prove it. But as long as you’re not looking for solitude, Cairo—the City of the Thousand Minarets—is a splendid place to explore Egyptian history and culture. (Editor's note: Our list was compiled before political unrest prompted many countries to issue travel warnings for Egypt. If you're currently planning a trip to Egypt, please consider the risks and monitor your government's travel alerts.)",All year remain in the same temperature. Summer will be hot extremely.,https://img.delicious.com.au/3M0FMB5C/del/2018/12/cairo-egypt-97390-2.jpg
Helsinki,Finland,1,0,0,1,1,1,1,1,0,0,"Suomenlinna,Helsinki Cathedral,Museum of Contemporary Art,Ateneum,Uspenski Cathedral,Helsingin päärautatieasema,Sibelius Monument,Mannerheimintie landmarks,Sauna & an icy swim","A winter wonderland for the Christmas enthusiasts.Finnish capital known for its neoclassical cathedral, Design District shops & Suomenlinna sea fort. Sitting on the edge of the Baltic, the modern, cosmopolitan city of Helsinki is the World Design Capital for 2012. The beauty of the surrounding nature blends seamlessly with high-tech achievements and contemporary trends. Walking tours of the city center show layers of history, while modern architecture and cutting-edge style stake the city's claim to the future. Choose Helsinki during its endless summer days or get adventurous on crisp, snowy winter nights.Famous for winter sports.","All year, but preferably in fall due to northen lights.",https://img.delicious.com.au/zYT2qxH4/del/2018/12/helsinki-finland-97391-2.jpg
Bali,Indonesia,1,1,0,1,0,1,1,1,1,0,"Sacred Monkey Forest Sanctuary,UBUD ART MARKET,Campuhan Ridge Walk,Saraswati Temple,Ubud Palace,Goa Gajah,The Blanco Renaissance,Waterfall walks,Whitewater rafting","For a taste of the bustle, with the option of a verdant escape.Upland town, known for its Monkey Forest, Hindu temples, art museums & lush countryside. Set amid jungle ravines and rolling emerald foothills, Ubud has long been the center of Bali’s artisanal traditions and spiritual life. The town itself is no longer the peaceful hippie village it once was, but the wellness scene here is booming. Yoga schools, meditation centers, and all manner of raw and vegan cuisine abound. If the town center is too busy for you, tranquil nature and temples are all nearby, from sunrise hikes up Mount Batur to iconic temples like Pura Tirta Empul (which is even prettier in person).",All year.,https://img.delicious.com.au/0UYOAZzI/del/2018/12/ubud-bali-indonesia-97392-2.jpg
Berlin,Germany,0,0,1,1,1,0,1,1,0,0,"Brandenburg Gate,Reichstag Building,Memorial to the Murdered Jews,East Side Gallery,Museum Island,Pergamonmuseum,Checkpoint Charlie,Berliner FernsehturmSpree River cruise,Teufelsberg,Sonntagskaraoke am Mauerpark","The ultimate noir experience for art lovers.Germany's capital, with the Reichstag, Brandenburg Gate, the Holocaust memorial & Berlin Wall.",All year.,https://img.delicious.com.au/9Ow8JVHu/del/2018/12/berlin-germany-97393-2.jpg
Shanghai,China,0,0,1,1,1,1,1,1,0,1,"The Bund,Yu Garden,Shanghai Tower,Shanghai Disneyland Park,Oriental Pearl TV Tower,Shanghai World Financial Center,Shanghai Museum,Nanjing Road,Jin Mao Tower,Souvenir shopping,Qibao old town food","Food, fun and an active nightlife awaits.Modern Chinese city known for its skyscrapers, the Bund promenade, art deco buildings & shopping.China's largest city—and its most cosmopolitan.Shanghai is a luxurious playground for the well-heeled, with Michelin-star dining, high-end fashion houses, and over-the-top hotels. The Huangpu River splits the city into two districts: Pudong and Puxi. The Pudong skyline looks like it was ripped from the Jetsons; on the Puxi side, you can walk the Bund riverside district to get a taste of old Shanghai. The food scene is phenomenal; take advantage of tours that focus on local eats, like dumpling houses. Also, don’t miss the chance to fill your suitcase with custom-made clothing from bespoke shops.",All year.,https://img.delicious.com.au/1ri8bDOT/del/2018/12/shanghai-china-97394-2.jpg
Las Vegas,USA,0,1,0,1,1,0,1,1,0,0,"Bellagio Hotel & Casino,MGM Grand,Luxor Hotel & Casino,Red Rock Canyon National,Las Vegas Strip,The Mirage,The Neon Museum,Vegas shows,ATV desert tours,Resort pools","Neon-lit desert city with luxury resorts, theme hotels, 24-hour casinos & big-name entertainment.The city of bright lights and colourful characters. Whether you’re a low-key lounger or a high-roller, Las Vegas is a vacation win.“How I wish that there were more than 24 hours in the day” Elvis sang about Vegas, and you might feel exactly the same way after setting foot in this electric city. Eat your way across Michelin-starred restaurants, try your luck at famed casinos, or take in a spectacular show. Just wandering the Strip is enough to get your endorphins in overdrive. Once you’ve had enough of the razzle-dazzle, shake off the crowds in state parks and wildlife refuges, or visit the Neon Museum, where old signs take on new life. ",All year.,https://img.delicious.com.au/r2iDWaS5/del/2018/12/las-vegas-usa-97395-2.jpg
Jerusalem,Israel,0,1,1,1,1,1,1,1,0,1,"Church of the Holy Sepulchre,Western Wall,Dome of the Rock,Yad Vashem,Temple Mount,Mount of Olives,Machaneh Yehudah Market","Fans of Israeli cuisine will need little convincing. Religious pilgrims have been traveling to Jerusalem for centuries, yet you don’t have to share their zeal in order to appreciate this city’s profound cultural and historical significance. Plan on seeing the major sights, but also leave plenty of time to walk through the streets and simply immerse yourself in the daily life of such an ancient and revered place.",All year.,https://img.delicious.com.au/NsFZyUoz/del/2018/12/jerusalem-israel-97396-2.jpg
Venice,Italy,1,0,1,1,1,1,1,1,0,0,"Doge's Palace,Rialto Bridge,Saint Mark's Basilica,Grand Canal,St. Mark's Square,Bridge of Sighs,Burano,Basilica di Santa Maria della Salute","Italian island city known for canals lined with Gothic palaces, Piazza San Marco square & Carnival.Immerse yourself in incredible food and fascinating architecture.A timeless city of more than 100 tiny islands surrounded by the vast Venetian Lagoon.Venice is an enchanting city that casts visitors under an intoxicating spell. It’s dreamy and romantic, with an undercurrent of mystery and drama. And while Carnival is only once a year, its mood is present year-round. The Grand Canal is the center of activity, with gondoliers singing to the passengers in their boats. The magnificent Piazza Sam Marco is another must-see hub. Along the winding streets you’ll find stylish cafes and gelaterias, souvenir shops and small businesses, plus Renaissance palaces and Gothic churches. After you've climbed the Campanille and visited the Gallerie dell Accademia, stroll through the surrounding neighborhoods, where locals eat cicchitti and drink their vino in unfussy bars and restaurants.","Winter: Winter in Venice sees crowds thin, the mercury drop, and “acqua alta” (high water) potentially flood the canals — but it’s also a prime time to snag a deal. Average daily temperatures this time of year are highs of 43 Fahrenheit (6 Celsius) and lows of 32 Fahrenheit (0 Celsius). To experience the city at its most atmospheric, coincide your trip with November's Arte Biennale or March's Carnevale.",https://img.delicious.com.au/YQa2u6-g/del/2018/12/venice-italy-97397-1.jpg
Cape Town,South Africa,1,1,0,1,0,1,1,1,1,0,"Maclear's Beacon,Kirstenbosch National Botanical,Robben Island,V&A Waterfront,Boulders Beach,Cape of Good Hope,Cape Point,Lion's Head,Iziko Bo-Kaap Museum","The best of nature and city life join forces here.Table Mountain overlooks this South African city, home to Robben Island prison museum & beaches.From flat-topped Table Mountain down to the blue waters of Table Bay, Cape Town is simply stunning, but the city doesn't thrive by its looks alone. Proudly multicultural, its flourishing arts, dining, and nightlife scenes are proof of this modern metropolis' creativity and innovative spirit.Cape Town glistens at the southern toe of the African continent. Tourist brochure-views at Blaauwberg Beach and Kirstenbosch National Botanical Gardens are within easy driving distance of ""The Mother City."" The Cape of Good Hope Nature Reserve provides sweeping sea vistas, hiking trails and wildlife encounters. On a more somber note, travelers can visit Robben Island, the prison where Nelson Mandela was held for 27 years.",All year.,https://img.delicious.com.au/5hc3JSiw/del/2018/12/cape-town-south-africa-97398-2.jpg
Rio de Janeiro,Brazil,1,1,0,1,1,1,1,1,0,0,"Christ the Redeemer,Sugarloaf Mountain,Copacabana Beach,Ipanema Beach,Museu do Amanhã,Tijuca National Park,Escadaria Selarón,Maracanã,Niterói Contemporary Art,Guanabara Bay cruise","Visit pristine beaches and iconic monuments in this part of the world.Brazilian city, home to Copacabana Beach, Sugarloaf Mountain, Carnaval & Christ the Redeemer statue.An urban metropolis with the back-tempo of a samba sway.With its plentiful beaches, dramatic mountains, and backdrop of samba and bossa nova rhythms, it's easy to fall in love with Rio de Janeiro. Made famous in song, Ipanema Beach is still the place to stroll, sunbathe, and be seen. The largest Art Deco statue in the world, Christ the Redeemer, beckons visitors to Corcovado Mountain. And if you're coming for Carnaval, Rio’s annual celebrations are bacchanalian extravaganzas of feasting, music, dance, and costumed revelry.","December to March: Undoubtedly, the best time to visit Rio de Janeiro is between December and March, when the weather is optimum for exploring the city’s beaches. Additionally, the summer months deliver two of the city’s best celebrations: New Year’s Eve, when crowds cram onto Copacabana Beach for a 15-minute fireworks display, and the world-renowned Carnaval, during which the spirit of samba overtakes the city.",https://img.delicious.com.au/JkpxIMZo/del/2018/12/rio-de-janeiro-brazil-97399-2.jpg
Singapore,Singapore,0,0,0,1,1,0,1,1,0,0,"Marina Bay Sands Singapore,Gardens by the Bay,Sentosa,Singapore Botanic Gardens,Universal Studios Singapore,Singapore Flyer,ArtScience Museum,Orchard Road","Shopping, dining and sightseeing is a must-do in sunny Singapore.Financial center known for the Padang, Buddha Tooth Relic Temple & Orchard Road malls.Small in size, the ‘Lion City’ offers big delights.This tiny island city-state is a study of fusions and contrasts bursting with wonders waiting to be explored. Tranquil parks abut futuristic skyscrapers and luxe shopping malls. A thriving street food scene and world-class restaurants offer countless ways to taste and sip your way through Singapore’s culinary melting pot. Your first trip to Singapore will prove that sometimes the best things come in small packages.","True to its Southeast Asian location, Singapore has a hot and humid climate all year round. Even during its non-monsoon season, it rains almost every day, but the quick showers can be quite refreshing as they offer some respite from the sun. Average daily temperatures for much of the year range from 24-32°C (75-89°F).",https://img.delicious.com.au/TxSUCqgo/del/2018/12/singapore-singapore-97400-2.jpg
Ontario,Canada,0,0,0,1,1,0,1,1,1,0,"CN Tower,Royal Ontario Museum,Art Gallery of Ontario,Casa Loma,Ripley's Aquarium of Canada,Toronto Zoo,Toronto Islands,High Park,St. Lawrence Market,Cherry blossom viewing","A progressive Canadian city worth getting to know.Big Canadian city with the soaring CN Tower, many parks, a large Chinatown & Royal Ontario Museum.We've heard Toronto described as ""New York City run by the Swiss,"" and it's true—you can find world-class theater, shopping and restaurants here, but the sidewalks are clean and the people are friendly. The best place to start is literally at the top—the CN Tower, the tallest freestanding structure in the Western Hemisphere.",All year.,https://img.delicious.com.au/-5nxKI4B/del/2018/12/toronto-canada-97401-2.jpg
Seoul,South Korea,1,1,0,1,1,0,1,1,0,1,"Gyeongbokgung Palace,Bukchon Hanok Village,Myeong-dong,Changdeokgung,Lotte World,Cheonggyecheon,Dongdaemoon Design Plaza,Insa-dong tea houses,Hanok homestay,Samcheong-dong galleries","Seoul attracts fashion, food and culture seekers alike.South Korean capital with modern skyscrapers, ancient temples, Gyeongbokgung Palace & N Seoul Tower.The business and cultural hub of South Korea, where skyscrapers tower over palaces and pagodas.From modern skyscrapers and neon lights to Buddhist temples, palaces and pagodas, Seoul is a fascinating mix of old and new. Take it all in from the N Seoul Tower, built atop a peak in Namsan Park. The teahouses and shops of Insadong give you a taste of Korean flavor, which you can further experience with a visit to the grounds and museums of Gyeongbokgung. UNESCO World Heritage Site Changdeokgung Palace is a fine example of authentic ancient architecture.",All year.,https://img.delicious.com.au/AT4SCR_Q/del/2018/12/seoul-south-korea-97402-2.jpg
Casablanca,Morocco,0,0,1,1,0,1,1,1,0,1,"Hassan II Mosque,Sacred Heart Cathedral,Museum of Moroccan Judaism,Muhammad V Square,Arab League Park,Mahkama du Pacha,Parc Sindibad","Famed by the namesake film, but there’s more than meets the eye.Moroccan port city with Moorish–art decol Mauresque architecture & the waterfront Hassan II Mosque.Today Casablanca is a large, modern city, but the former French colonial post still allows myriad movie moments for those who want to revisit love in the medina and Old City. Casa (as locals call it) isn’t too touristy, but it’s the most cosmopolitan and Western-feeling city in Morocco. Visit The King Hassan II Mosque and Casa's Medina.",All year.,https://img.delicious.com.au/XbEWSGhz/del/2018/12/casablanca-morocco-97403-2.jpg
Moscow,Russia,0,0,0,0,0,1,1,0,0,0,"St. Basil's Cathedral,The Moscow Kremlin,Red Square,Bolshoi Theatre,The State Tretyakov Gallery,Cathedral of Christ the Saviour,Soviet skyscrapers,Banya steam bath,Classical ballet","Pack your coats, this is one city you’ll want to wander around in any weather.Russian capital city with the Kremlin, Red Square, St. Basil’s Cathedral & Bolshoi Theatre ballet.The political, scientific, historical, architectural and business center of Russia, Moscow displays the country's contrasts at their most extreme. The ancient and modern are juxtaposed side by side in this city of 10 million. Catch a metro from one of the ornate stations to see Red Square, the Kremlin, the nine domes of St. Basil's Cathedral, Lenin's Mausoleum, the KGB Museum and other symbols of Moscow's great and terrible past, then lighten up and shop Boulevard Ring or people watch in Pushkin Square.",All year.,https://img.delicious.com.au/uL0vNyfG/del/2018/12/mosco-russia-97404-2.jpg
Sydney,Australia,1,0,0,1,1,0,1,1,0,0,"Sydney Opera House,Bondi Beach,Sydney Harbour Bridge,Taronga Zoo Sydney,Royal Botanic Garden Sydney,Darling Harbour,Port Jackson Bay,Harbor dinner cruise,National park bushwalking","An iconic harbour and famous structures offers so much sightseeing potential.New South Wales state capital known for its waterfront Sydney Opera House & surfing at Bondi Beach.A bright, modern city embedded in nature, where gallery-hopping, surfing, and fine-dining can all take place in a single day.Sydney offers an urban mix of rich history and contemporary buzz, but with a distinctly Australian spirit. To understand why this city is so singular, take the clifftop coastal walk from Bondi to Coogee, where you’ll pass by beaches, rock pools, and lush parks. Then there’s the marvelous Sydney Opera House—jutting up like a great origami sailboat—anchoring the city’s iconic harbor. It’s also worth seeing the city from the top down; the views from the Sydney Tower Eye observatory are epic—and it’ll get you oriented on how everything is connected.","March to May: The best times to visit Sydney are between March and May and September and November. You’ll find more comfortable temperatures and fewer crowds — which means you can likely nab better prices on airfare, too.",https://img.delicious.com.au/NO1JKQbi/del/2018/12/sydney-australia-97405-2.jpg
Lima,Peru,1,0,0,1,0,1,1,1,1,0,"Larco Museum,Plaza De Armas De Lima,Huaca Pucllana,Basílica y Convento de San Francisco de,Museo de Arte de Lima,Cathedral of Lima,Park of the Reserve,Parque Del Amor","An introduction to South America with plenty to keep travellers entertained.Peru's bustling capital, with Spanish colonial buildings, Museo Larco art & a vibrant food scene.Lima, founded by Francisco Pizarro in 1535, is a fascinating city and a treasure trove of history. Explore ancient Incan archeological sites, or stroll through the elegant cathedrals and opulent palaces dating from Spanish colonial times. Downtown Lima is crowded, but you'll enjoy exploring the city's neighborhoods—especially the beachfront areas, which have great shopping and dining and fabulous hotels.",All year.,https://img.delicious.com.au/CUQ1XYkN/del/2018/12/lima-peru-97406-2.jpg
Beijing,China,0,1,1,1,1,1,1,1,0,0,"Great Wall of China,Forbidden City,Temple of Heaven,Summer Palace,Tiananmen Square,Lama Temple,Beihai Park,National Museum of China,Hillside fall foliage,City bike tour","Old meets new in this exciting city.China's capital & home to major sites such as the Forbidden City palace complex & Tiananmen Square.Welcome to a capital city whose story goes back at least 3,000 years. In Beijing, you'll find a wealth of history, both ancient (the Hall of Preserving Harmony, Summer Palace, Forbidden City) and more recent (Chairman Mao Memorial Hall, Tiananmen Square). For the best market experience, choose the Dirt Market over the touristy Silk Market. A visit to the Great Wall, the longest manmade structure in the world, is absolutely essential.",All year.,https://img.delicious.com.au/C7eDVGxM/del/2018/12/beijing-china-97407-2.jpg
Buenos Aires,Argentina,0,0,0,1,0,1,1,1,0,0,"Recoleta Cemetery,Teatro Colón,Malba,Casa Rosada,Museo Nacional de Bellas Artes,Plaza de Mayo,Caminito,Obelisco,Palacio Barolo,Tango dancing","A lively city where it seems anything could happen.Argentina capital with European-style landmarks Casa Rosada & Teatro Colón, plus MALBA art museum.A cosmopolitan city that dazzles with architecture, dance, and up-all-night urban life.The birthplace of tango is, like the dance itself, captivating, seductive and bustling with electric energy. Atmospheric old neighborhoods are rife with romantic restaurants and thumping nightlife, and Buenos Aires' European heritage is evident in its architecture, boulevards and parks. Cafe Tortoni, the city's oldest bar, will transport you back to 1858, and the spectacular Teatro Colon impresses just as it did in 1908. Latin America's shopping capital offers the promise of premium retail therapy along its grand, wide boulevards.","June-August is when the city is at its liveliest, and more cultural events are available than any other time of year. The weather is not a problem. It never reaches freezing, and it has snowed only once (very briefly) since 1918. The evenings are cool and crisp, the days are perfect for walking the city",https://img.delicious.com.au/-wdYryVH/del/2018/12/buenos-aires-argentina-97408-2.jpg
